Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	regulation of viral entry into host cell (GO:0046596)	-0.7540069385880174	-2.1138742663546872	0.001	0.005870026809243771	0.005	10/22	8.60%	Cd74;Ifitm1;Trim5;Trim14;Trim68;Gsn;Ifitm2;Lgals9;Trim21;Ifitm3
prerank	response to interferon-gamma (GO:0034341)	-0.6175694536550684	-2.061498272123695	0.001	0.011250884717717229	0.021	24/47	14.27%	Cd74;Ccl3;Ccl17;Ifitm1;Gbp2;Gbp6;Slc11a1;Bst2;Ifitm2;Casp1;Il12rb1;Lgals9;Gbp7;Trim21;Gbp5;Ifitm3;Wnt5a;Kynu;Gbp4;Pde12;Cd40;Gbp3;Irf8;Ccl5
prerank	defense response to symbiont (GO:0140546)	-0.5685890599237722	-2.0265980863140687	0.001	0.015001179623622973	0.041	39/74	22.12%	Zbp1;Ifitm1;Trim56;Tlr7;Trim5;Ifit3;Ifi27;Bst2;Agbl4;Pycard;Ifitm2;Nlrc5;Abcc9;Rtp4;Ddx58;Bnip3;Irf2;Ifitm3;Mov10;Rnase6;Pde12;Ncbp3;Cd40;Mavs;Lyst;Mlkl;Ptprc;Rela;Samhd1;Pmaip1;Oprk1;Ifit1;Irf3;Tlr3;Fadd;Ttc4;Ifit2;Stat2;Cgas
prerank	response to interferon-beta (GO:0035456)	-0.7411056401394225	-2.0061064815175844	0.001	0.017120911526960998	0.062	10/17	16.05%	Ifitm1;Bst2;Ifitm2;Ikbke;Xaf1;Cdc34;Ifitm3;Pnpt1;Ndufa13;Aim2
prerank	defense response to virus (GO:0051607)	-0.5523101677693025	-2.003863329985587	0.001	0.014283731902493177	0.065	40/82	22.12%	Zbp1;Cxcl10;Ifitm1;Trim56;Tlr7;Trim5;Ifit3;Ifi27;Bst2;Agbl4;Pycard;Ifitm2;Nlrc5;Abcc9;Rtp4;Ddx58;Bnip3;Irf2;Ifitm3;Mov10;Rnase6;Pde12;Ncbp3;Cd40;Mavs;Lyst;Mlkl;Ptprc;Rela;Samhd1;Pmaip1;Oprk1;Ifit1;Irf3;Tlr3;Fadd;Ttc4;Ifit2;Stat2;Cgas
prerank	regulation of activated T cell proliferation (GO:0046006)	-0.721798395873468	-1.9446420642382714	0.001	0.0365246112575168	0.173	8/18	5.50%	Tnfsf9;Ido1;Cd274;Ager;Pycard;Igf2;Il12rb1;Lgals9
prerank	cellular response to interferon-gamma (GO:0071346)	-0.5426300637818892	-1.9198028892057941	0.0014771048744460858	0.0483578399047225	0.257	24/64	14.27%	Ccl3;Ccl17;Gbp2;Mid1;Gbp6;Trim5;Irf9;Trim68;Ptafr;B2m;Casp1;Il12rb1;Lgals9;Gbp7;Trim21;Gbp5;Irf5;Irf2;Wnt5a;Gbp4;Pde12;Gbp3;Irf8;Ccl5
prerank	neurotransmitter transport (GO:0006836)	0.47770664709330574	1.8816831626323456	0.001	1.0	0.612	13/63	7.83%	Slc18a3;Syt1;Chat;Slc17a8;Slc5a7;Slc18a2;Stxbp3;Slc1a6;Slc17a6;Snph;Slc29a4;Gad2;Syn1
prerank	positive regulation of phagocytosis (GO:0050766)	-0.6021166941819976	-1.8549493308064446	0.001	0.11336489275352034	0.534	16/35	14.98%	Slc11a1;Dock2;Pycard;C4b;Nckap1l;Il15ra;C3;Gata2;Mertk;Il2rg;Rab31;Cyba;Trem2;Ptprc;Fcer1g;Cd300lf
prerank	membrane depolarization during action potential (GO:0086010)	0.5797846164512989	1.8302921130490724	0.005390835579514825	0.9957727600783586	0.805	10/24	17.98%	Hcn4;Scn10a;Scn9a;Scn7a;Scn4b;Scn2a;Kcnj2;Kcnh2;Scn5a;Cacna1h
