region	state	mean_pbs	mean_bri	delta	mwu_p
Olfactory areas	MYE:MDM	0.021487432	0.020186668	-0.0013007633	0.023809524
Meninges	MYE:MDM	0.022053083	0.019242046	-0.002811037	0.023809524
Ventricular area	MYE:MAIT	0.012245528	0.008963338	-0.0032821903	0.023809524
Infragranular layers	MYE:Microglia	0.030980296	0.028877521	-0.0021027755	0.023809524
Ventricular area	MYE:Plamablasts	0.017975489	0.014166948	-0.0038085403	0.023809524
Supragranualar layers	MYE:TEx	0.016740771	0.01576767	-0.0009731017	0.04761905
Hypothalamus	MYE:Granulocyte	0.010426823	0.011010646	0.00058382284	0.04761905
Olfactory areas	MYE:CAM	0.020610956	0.019993754	-0.0006172024	0.04761905
Ventricular area	MYE:CD8 TRM	0.013856284	0.011771518	-0.0020847665	0.0952381
Ventricular area	MYE:CAM	0.026488377	0.021971995	-0.004516382	0.0952381
Meninges	MYE:CAM	0.024792293	0.022458114	-0.0023341794	0.0952381
Supragranualar layers	MYE:Plamablasts	0.022823358	0.021071067	-0.0017522909	0.0952381
Infragranular layers	MYE:TEx	0.017345628	0.016858635	-0.0004869923	0.0952381
Supragranualar layers	MYE:CD8 TRM	0.016888862	0.016354024	-0.00053483807	0.0952381
Hypothalamus	MYE:Plamablasts	0.022947008	0.020361261	-0.0025857463	0.16666667
Meninges	MYE:Microglia	0.03702284	0.03375332	-0.0032695197	0.16666667
Supragranualar layers	MYE:MDM	0.022248514	0.02095358	-0.0012949333	0.16666667
Hypothalamus	MYE:NK	0.019024653	0.017071104	-0.0019535497	0.16666667
Corpus callosum	MYE:CAM	0.021838827	0.020059345	-0.0017794818	0.16666667
Supragranualar layers	MYE:Microglia	0.0307864	0.0283907	-0.0023957007	0.16666667
Hypothalamus	MYE:MAIT	0.021878926	0.018499663	-0.003379263	0.16666667
Caudoputamen	MYE:Microglia	0.029219406	0.026077852	-0.003141554	0.16666667
Olfactory areas	MYE:Granulocyte	0.016694618	0.01542864	-0.0012659784	0.16666667
Caudoputamen	MYE:cDC1	0.021671653	0.020629944	-0.0010417085	0.16666667
Hippocampal formation	MYE:cDC1	0.022781122	0.018306607	-0.004474515	0.1904762
Meninges	MYE:Granulocyte	0.01607789	0.014634475	-0.001443414	0.26190478
Hypothalamus	MYE:CD8 TRM	0.015134272	0.014410816	-0.00072345603	0.26190478
Supragranualar layers	MYE:NK	0.02013913	0.019127836	-0.0010112934	0.26190478
Ventricular area	MYE:NK	0.011913148	0.01024557	-0.0016675778	0.26190478
Infragranular layers	MYE:CAM	0.024700664	0.023441521	-0.0012591425	0.26190478
Infragranular layers	MYE:MDM	0.019770065	0.018821992	-0.00094807334	0.26190478
Ventricular area	MYE:cDC1	0.014201074	0.012707439	-0.0014936347	0.26190478
Corpus callosum	MYE:Plamablasts	0.021585068	0.01847524	-0.0031098276	0.26190478
Caudoputamen	MYE:MAIT	0.027766898	0.025244603	-0.0025222953	0.26190478
Caudoputamen	MYE:MDM	0.016863557	0.016621491	-0.00024206564	0.26190478
Caudoputamen	MYE:Plamablasts	0.032246422	0.028737433	-0.0035089888	0.26190478
Caudoputamen	MYE:TEx	0.016818672	0.016578147	-0.00024052523	0.26190478
Corpus callosum	MYE:MDM	0.023764292	0.022184262	-0.0015800297	0.26190478
Meninges	MYE:TEx	0.013556231	0.012642149	-0.00091408193	0.3809524
Corpus callosum	MYE:cDC1	0.018640159	0.017522221	-0.0011179373	0.3809524
Hippocampal formation	MYE:NK	0.019483145	0.020988615	0.0015054699	0.3809524
Infragranular layers	MYE:CD4 Th17	0.021919178	0.022716021	0.0007968433	0.3809524
Hippocampal formation	MYE:CAM	0.0333985	0.023476105	-0.009922396	0.3809524
Hypothalamus	MYE:TEx	0.015108667	0.014380604	-0.0007280633	0.3809524
Corpus callosum	MYE:TEx	0.013901748	0.0127230985	-0.0011786493	0.3809524
Corpus callosum	MYE:CD8 TRM	0.012922212	0.012450848	-0.00047136378	0.3809524
Infragranular layers	MYE:Plamablasts	0.022792473	0.021911724	-0.0008807499	0.3809524
Supragranualar layers	MYE:CD4 Th17	0.022193281	0.022741428	0.00054814667	0.54761904
Corpus callosum	MYE:Granulocyte	0.014712931	0.014396989	-0.00031594187	0.54761904
Supragranualar layers	MYE:MAIT	0.018250784	0.017721435	-0.00052934885	0.54761904
Caudoputamen	MYE:Treg	0.025140578	0.023901746	-0.0012388323	0.54761904
Ventricular area	MYE:Granulocyte	0.021496886	0.019248972	-0.0022479147	0.54761904
Meninges	MYE:NK	0.015206342	0.014809771	-0.0003965702	0.54761904
Corpus callosum	MYE:NK	0.015637858	0.014542702	-0.0010951562	0.54761904
Caudoputamen	MYE:Granulocyte	0.018213341	0.01713893	-0.001074411	0.54761904
Ventricular area	MYE:MDM	0.03113737	0.031409685	0.000272315	0.54761904
Meninges	MYE:CD8 TRM	0.012434409	0.011919732	-0.0005146768	0.54761904
Supragranualar layers	MYE:CAM	0.021719046	0.020977683	-0.0007413626	0.54761904
Caudoputamen	MYE:CAM	0.019361129	0.01877551	-0.00058561936	0.54761904
Corpus callosum	MYE:Treg	0.016653275	0.015521622	-0.0011316529	0.54761904
Infragranular layers	MYE:MAIT	0.019742263	0.020236572	0.00049430877	0.54761904
Hypothalamus	MYE:MDM	0.018679466	0.018816346	0.0001368802	0.54761904
Hippocampal formation	MYE:Plamablasts	0.024842571	0.018824019	-0.006018553	0.5714286
Hippocampal formation	MYE:Treg	0.019519549	0.018473573	-0.0010459758	0.5714286
Hippocampal formation	MYE:Microglia	0.027827408	0.024636902	-0.0031905062	0.5714286
Hippocampal formation	MYE:Granulocyte	0.013931641	0.011995088	-0.001936553	0.5714286
Olfactory areas	MYE:TEx	0.01538021	0.014965472	-0.00041473843	0.71428573
Infragranular layers	MYE:Treg	0.02239144	0.022080325	-0.00031111576	0.71428573
Supragranualar layers	MYE:Granulocyte	0.016878007	0.016233223	-0.0006447844	0.71428573
Caudoputamen	MYE:NK	0.02231706	0.021604432	-0.00071262754	0.71428573
Supragranualar layers	MYE:cDC1	0.020029495	0.01971279	-0.0003167037	0.71428573
Olfactory areas	MYE:Plamablasts	0.020096725	0.02030646	0.0002097357	0.71428573
Hypothalamus	MYE:CD4 Th17	0.0144240605	0.014495853	7.179286e-05	0.71428573
Ventricular area	MYE:CD4 Th17	0.015640747	0.015033253	-0.00060749426	0.71428573
Hypothalamus	MYE:CAM	0.020394573	0.019939177	-0.00045539625	0.71428573
Ventricular area	MYE:TEx	0.015709016	0.013828288	-0.0018807286	0.71428573
Supragranualar layers	MYE:Treg	0.019474456	0.019224241	-0.0002502147	0.71428573
Olfactory areas	MYE:Microglia	0.037731506	0.03361174	-0.004119765	0.71428573
